[Thursday/July 24/07/2025 02:42:47] [Anime Time] Attack On Titan - 45.mkv | length=1436.039 | time=1435.997
[Thursday/July 24/07/2025 02:59:51] [Anime Time] Attack On Titan - 46.mkv | length=1436.039 | time=702.264
[Thursday/July 24/07/2025 20:48:05] ./Downloads/[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]/[Anime Time] Attack on titan (Season 03)/[Anime Time] Attack On Titan - 46.mkv | length=1436.039 | time=2.69
[Thursday/July 24/07/2025 20:48:51] ./Downloads/[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]/[Anime Time] Attack on titan (Season 03)/[Anime Time] Attack On Titan - 45.mkv | length=1436.039 | time=1313.834
[Thursday/July 24/07/2025 20:48:56] ./Downloads/[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]/[Anime Time] Attack on titan (Season 03)/[Anime Time] Attack On Titan - 45.mkv | length=1436.039 | time=1316.878
[Thursday/July 24/07/2025 22:14:20] ./Downloads/[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]/[Anime Time] Attack on titan (Season 03)/[Anime Time] Attack On Titan - 46.mkv | length=1436.039 | time=1436.039
[Thursday/July 24/07/2025 22:15:30] [Anime Time] Attack On Titan - 46.mkv | length=1436.039 | time=1435.997
[Thursday/July 24/07/2025 23:08:38] [Anime Time] Attack On Titan - 46.mkv | length=1436.039 | time=1413.85
[Friday/July 25/07/2025 01:03:21] [Anime Time] Attack On Titan - 47.mkv | length=1436.039 | time=615.636
[Friday/July 25/07/2025 01:04:58] [Anime Time] Attack On Titan - 47.mkv | length=1436.039 | time=644.206
[Friday/July 25/07/2025 13:40:02] ./mpv-shot0005.jpg | length=0 | time=0
[Friday/July 25/07/2025 15:05:06] [Anime Time] Attack On Titan - 47.mkv | length=1436.039 | time=1436.039
[Friday/July 25/07/2025 22:48:21] [Anime Time] Attack On Titan - 48.mkv | length=1436.039 | time=1435.997
[Friday/July 25/07/2025 22:48:39] [Anime Time] Attack On Titan - 48.mkv | length=1436.039 | time=0
[Friday/July 25/07/2025 23:58:28] [Anime Time] Attack On Titan - 49.mkv | length=1421.024 | time=1420.982
[Friday/July 25/07/2025 23:58:53] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 50.mkv | length=1436.039 | time=0
